airport_id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst,TZ
2994,Ahmedabad,Ahmedabad,India,AMD,VAAH,23.077242,72.63465,189,5.5,N,Asia/Calcutta
2995,Akola,Akola,India,AKD,VAAK,20.699006,77.058628,999,5.5,N,Asia/Calcutta
2996,Aurangabad,Aurangabad,India,IXU,VAAU,19.862728,75.398114,1911,5.5,N,Asia/Calcutta
2997,Chhatrapati Shivaji Intl,Mumbai,India,BOM,VABB,19.088686,72.867919,37,5.5,N,Asia/Calcutta
2998,Bilaspur,Bilaspur,India,PAB,VABI,21.9884,82.110983,899,5.5,N,Asia/Calcutta
2999,Bhuj,Bhuj,India,BHJ,VABJ,23.287828,69.670147,268,5.5,N,Asia/Calcutta
3000,Belgaum,Belgaum,India,IXG,VABM,15.859286,74.618292,2487,5.5,N,Asia/Calcutta
3001,Vadodara,Baroda,India,BDQ,VABO,22.336164,73.226289,129,5.5,N,Asia/Calcutta
3002,Bhopal,Bhopal,India,BHO,VABP,23.287467,77.337375,1719,5.5,N,Asia/Calcutta
3003,Bhavnagar,Bhaunagar,India,BHU,VABV,21.752206,72.185181,44,5.5,N,Asia/Calcutta
3004,Daman,Daman,India,NMB,VADN,20.434364,72.843206,33,5.5,N,Asia/Calcutta
3005,Deesa,Deesa,India,,VADS,24.267936,72.204433,485,5.5,N,Asia/Calcutta
3006,Guna,Guna,India,,VAGN,24.654681,77.347347,1600,5.5,N,Asia/Calcutta
3007,Goa,Goa,India,GOI,VAGO,15.380833,73.831422,184,5.5,N,Asia/Calcutta
3008,Devi Ahilyabai Holkar,Indore,India,IDR,VAID,22.721786,75.801086,1850,5.5,N,Asia/Calcutta
3009,Jabalpur,Jabalpur,India,JLR,VAJB,23.177817,80.052047,1624,5.5,N,Asia/Calcutta
3010,Jamnagar,Jamnagar,India,JGA,VAJM,22.465522,70.012556,69,5.5,N,Asia/Calcutta
3011,Kandla,Kandla,India,IXY,VAKE,23.112719,70.100289,96,5.5,N,Asia/Calcutta
3012,Khajuraho,Khajuraho,India,HJR,VAKJ,24.817197,79.918597,728,5.5,N,Asia/Calcutta
3013,Kolhapur,Kolhapur,India,KLH,VAKP,16.664658,74.289353,1996,5.5,N,Asia/Calcutta
3014,Keshod,Keshod,India,IXK,VAKS,21.317069,70.270403,167,5.5,N,Asia/Calcutta
3015,Dr Ambedkar Intl,Nagpur,India,NAG,VANP,21.092192,79.047183,1033,5.5,N,Asia/Calcutta
3016,Nasik Road,Nasik Road,India,ISK,VANR,19.963739,73.807644,1959,5.5,N,Asia/Calcutta
3017,Pune,Pune,India,PNQ,VAPO,18.582111,73.919697,1942,5.5,N,Asia/Calcutta
3018,Porbandar,Porbandar,India,PBD,VAPR,21.648675,69.657219,23,5.5,N,Asia/Calcutta
3019,Rajkot,Rajkot,India,RAJ,VARK,22.309183,70.779525,441,5.5,N,Asia/Calcutta
3020,Raipur,Raipur,India,RPR,VARP,21.180406,81.738753,1041,5.5,N,Asia/Calcutta
3021,Sholapur,Sholapur,India,SSE,VASL,17.627958,75.934842,1584,5.5,N,Asia/Calcutta
3022,Surat,Surat,India,STV,VASU,21.114061,72.741792,16,5.5,N,Asia/Calcutta
3023,Udaipur,Udaipur,India,UDR,VAUD,24.617697,73.8961,1684,5.5,N,Asia/Calcutta
3037,Along,Along,India,,VEAN,28.175317,94.802036,900,5.5,N,Asia/Calcutta
3038,Agartala,Agartala,India,IXA,VEAT,23.886978,91.24045,46,5.5,N,Asia/Calcutta
3039,Aizawl,Aizwal,India,AJL,VEAZ,23.746603,92.802767,1001,5.5,N,Asia/Calcutta
3040,Bagdogra,Baghdogra,India,IXB,VEBD,26.681206,88.328567,412,5.5,N,Asia/Calcutta
3041,Bokaro,Bokaro,India,,VEBK,23.643489,86.148886,715,5.5,N,Asia/Calcutta
3042,Bhubaneshwar,Bhubaneswar,India,BBI,VEBS,20.244364,85.817781,138,5.5,N,Asia/Calcutta
