User ID,Age,EstimatedSalary,Purchased
15624510,19,19000,0
15810944,35,20000,0
15668575,26,43000,0
15603246,27,57000,0
15804002,19,76000,0
15728773,27,58000,0
15598044,27,84000,0
15694829,32,150000,1
15600575,25,33000,0
15727311,35,65000,0
15570769,26,80000,0
15606274,26,52000,0
15746139,20,86000,0
15704987,32,18000,0
15628972,18,82000,0
15697686,29,80000,0
15733883,47,25000,1
15617482,45,26000,1
15704583,46,28000,1
15621083,48,29000,1
15649487,45,22000,1
15736760,47,49000,1
15714658,48,41000,1
15599081,45,22000,1
15705113,46,23000,1
15631159,47,20000,1
15792818,49,28000,1
15633531,47,30000,1
15744529,29,43000,0
15669656,31,18000,0
15581198,31,74000,0
15729054,27,137000,1
15573452,21,16000,0
15776733,28,44000,0
15724858,27,90000,0
15713144,35,27000,0
15690188,33,28000,0
15689425,30,49000,0
15671766,26,72000,0
15782806,27,31000,0
15764419,27,17000,0
15591915,33,51000,0
15772798,35,108000,0
15792008,30,15000,0
15715541,28,84000,0
15639277,23,20000,0
15798850,25,79000,0
15776348,27,54000,0
15727696,30,135000,1
15793813,31,89000,0
15694395,24,32000,0
15764195,18,44000,0
15744919,29,83000,0
15671655,35,23000,0
15654901,27,58000,0
15649136,24,55000,0
15775562,23,48000,0
15807481,28,79000,0
15642885,22,18000,0
15789109,32,117000,0
15814004,27,20000,0
15673619,25,87000,0
15595135,23,66000,0
15583681,32,120000,1
15605000,59,83000,0
15718071,24,58000,0
15679760,24,19000,0
15654574,23,82000,0
15577178,22,63000,0
15595324,31,68000,0
15756932,25,80000,0
15726358,24,27000,0
15595228,20,23000,0
15782530,33,113000,0
15592877,32,18000,0
15651983,34,112000,1
15746737,18,52000,0
15774179,22,27000,0
15667265,28,87000,0
15655123,26,17000,0
15595917,30,80000,0
15668385,39,42000,0
15709476,20,49000,0
15711218,35,88000,0
15798659,30,62000,0
15663939,31,118000,1
15694946,24,55000,0
15631912,28,85000,0
15768816,26,81000,0
15682268,35,50000,0
15684801,22,81000,0
15636428,30,116000,0
15809823,26,15000,0
15699284,29,28000,0
15786993,29,83000,0
15709441,35,44000,0
15710257,35,25000,0
15582492,28,123000,1
15575694,35,73000,0
15756820,28,37000,0
15766289,27,88000,0
15593014,28,59000,0
15584545,32,86000,0
15675949,33,149000,1
15672091,19,21000,0
15801658,21,72000,0
15706185,26,35000,0
15789863,27,89000,0
15720943,26,86000,0
15697997,38,80000,0
15665416,39,71000,0
15660200,37,71000,0
15619653,38,61000,0
15773447,37,55000,0
15739160,42,80000,0
15689237,40,57000,0
15679297,35,75000,0
15591433,36,52000,0
15642725,40,59000,0
15701962,41,59000,0
15811613,36,75000,0
15741049,37,72000,0
15724423,40,75000,0
15574305,35,53000,0
15678168,41,51000,0
15697020,39,61000,0
15610801,42,65000,0
15745232,26,32000,0
15722758,30,17000,0
15792102,26,84000,0
15675185,31,58000,0
15801247,33,31000,0
15725660,30,87000,0
15638963,21,68000,0
15800061,28,55000,0
15578006,23,63000,0
15668504,20,82000,0
15687491,30,107000,1
15610403,28,59000,0
15741094,19,25000,0
15807909,19,85000,0
15666141,18,68000,0
15617134,35,59000,0
15783029,30,89000,0
15622833,34,25000,0
15746422,24,89000,0
15750839,27,96000,1
15749130,41,30000,0
15779862,29,61000,0
15767871,20,74000,0
15679651,26,15000,0
15576219,41,45000,0
15699247,31,76000,0
15619087,36,50000,0
15605327,40,47000,0
15610140,31,15000,0
15791174,46,59000,0
15602373,29,75000,0
15762605,26,30000,0
15598840,32,135000,1
15744279,32,100000,1
15670619,25,90000,0
15599533,37,33000,0
15757837,35,38000,0
15697574,33,69000,0
15578738,18,86000,0
15762228,22,55000,0
15614827,35,71000,0
15789815,29,148000,1
15579781,29,47000,0
15587013,21,88000,0
15570932,34,115000,0
15794661,26,118000,0
15581654,34,43000,0
15644296,34,72000,0
15614420,23,28000,0
15609653,35,47000,0
15594577,25,22000,0
15584114,24,23000,0
15673367,31,34000,0
15685576,26,16000,0
15774727,31,71000,0
15694288,32,117000,1
15603319,33,43000,0
15759066,33,60000,0
15814816,31,66000,0
15724402,20,82000,0
15571059,33,41000,0
15674206,35,72000,0
15715160,28,32000,0
15730448,24,84000,0
15662067,19,26000,0
15779581,29,43000,0
15662901,19,70000,0
15689751,28,89000,0
15667742,34,43000,0
15738448,30,79000,0
15680243,20,36000,0
15745083,26,80000,0
15708228,35,22000,0
15628523,35,39000,0
15708196,49,74000,0
15735549,39,134000,1
15809347,41,71000,0
15660866,58,101000,1
15766609,47,47000,0
15654230,55,130000,1
15794566,52,114000,0
15800890,40,142000,1
15697424,46,22000,0
15724536,48,96000,1
15735878,52,150000,1
15707596,59,42000,0
15657163,35,58000,0
15622478,47,43000,0
15779529,60,108000,1
15636023,49,65000,0
15582066,40,78000,0
15666675,46,96000,0
15732987,59,143000,1
15789432,41,80000,0
15663161,35,91000,1
15694879,37,144000,1
15593715,60,102000,1
15575002,35,60000,0
15622171,37,53000,0
15795224,36,126000,1
15685346,56,133000,1
15691808,40,72000,0
15721007,42,80000,1
15794253,35,147000,1
15694453,39,42000,0
15813113,40,107000,1
15614187,49,86000,1
15619407,38,112000,0
15646227,46,79000,1
15660541,40,57000,0
15753874,37,80000,0
15617877,46,82000,0
15772073,53,143000,1
15701537,42,149000,1
15736228,38,59000,0
15780572,50,88000,1
15769596,56,104000,1
15586996,41,72000,0
15722061,51,146000,1
15638003,35,50000,0
15775590,57,122000,1
15730688,41,52000,0
15753102,35,97000,1
15810075,44,39000,0
15723373,37,52000,0
15795298,48,134000,1
15584320,37,146000,1
15724161,50,44000,0
15750056,52,90000,1
15609637,41,72000,0
15794493,40,57000,0
15569641,58,95000,1
15815236,45,131000,1
15811177,35,77000,0
15680587,36,144000,1
15672821,55,125000,1
15767681,35,72000,0
15600379,48,90000,1
15801336,42,108000,1
15721592,40,75000,0
15581282,37,74000,0
15746203,47,144000,1
15583137,40,61000,0
15680752,43,133000,0
15688172,59,76000,1
15791373,60,42000,1
15589449,39,106000,1
15692819,57,26000,1
15727467,57,74000,1
15734312,38,71000,0
15764604,49,88000,1
15613014,52,38000,1
15759684,50,36000,1
15609669,59,88000,1
15685536,35,61000,0
15750447,37,70000,1
15663249,52,21000,1
15638646,48,141000,0
15734161,37,93000,1
15631070,37,62000,0
15761950,48,138000,1
15649668,41,79000,0
15713912,37,78000,1
15586757,39,134000,1
15596522,49,89000,1
15625395,55,39000,1
15760570,37,77000,0
15566689,35,57000,0
15725794,36,63000,0
15673539,42,73000,1
15705298,43,112000,1
15675791,45,79000,0
15747043,46,117000,1
15736397,58,38000,1
15678201,48,74000,1
15720745,37,137000,1
15637593,37,79000,1
15598070,40,60000,0
15787550,42,54000,0
15603942,51,134000,0
15733973,47,113000,1
15596761,36,125000,1
15652400,38,50000,0
15717893,42,70000,0
15622585,39,96000,1
15733964,38,50000,0
15753861,49,141000,1
15747097,39,79000,0
15594762,39,75000,1
15667417,54,104000,1
15684861,35,55000,0
15742204,45,32000,1
15623502,36,60000,0
15774872,52,138000,1
15611191,53,82000,1
15674331,41,52000,0
15619465,48,30000,1
15575247,48,131000,1
15695679,41,60000,0
15713463,41,72000,0
15785170,42,75000,0
15796351,36,118000,1
15639576,47,107000,1
15693264,38,51000,0
15589715,48,119000,1
15769902,42,65000,0
15587177,40,65000,0
15814553,57,60000,1
15601550,36,54000,0
15664907,58,144000,1
15612465,35,79000,0
15810800,38,55000,0
15665760,39,122000,1
15588080,53,104000,1
15776844,35,75000,0
15717560,38,65000,0
15629739,47,51000,1
15729908,47,105000,1
15716781,41,63000,0
15646936,53,72000,1
15768151,54,108000,1
15579212,39,77000,0
15721835,38,61000,0
15800515,38,113000,1
15591279,37,75000,0
15587419,42,90000,1
15750335,37,57000,0
15699619,36,99000,1
15606472,60,34000,1
15778368,54,70000,1
15671387,41,72000,0
15573926,40,71000,1
15709183,42,54000,0
15577514,43,129000,1
15778830,53,34000,1
15768072,47,50000,1
15768293,42,79000,0
15654456,42,104000,1
15807525,59,29000,1
15574372,58,47000,1
15671249,46,88000,1
15779744,38,71000,0
15624755,54,26000,1
15611430,60,46000,1
15774744,60,83000,1
15629885,39,73000,0
15708791,59,130000,1
15793890,37,80000,0
15646091,46,32000,1
15596984,46,74000,0
15800215,42,53000,0
15577806,41,87000,1
15749381,58,23000,1
15683758,42,64000,0
15670615,48,33000,1
15715622,44,139000,1
15707634,49,28000,1
15806901,57,33000,1
15775335,56,60000,1
15724150,49,39000,1
15627220,39,71000,0
15672330,47,34000,1
15668521,48,35000,1
15807837,48,33000,1
15592570,47,23000,1
15748589,45,45000,1
15635893,60,42000,1
15757632,39,59000,0
15691863,46,41000,1
15706071,51,23000,1
15654296,50,20000,1
15755018,36,33000,0
15594041,49,36000,1
